"seed","N","strategy","Pr","Re","MCC","CoefL2","JacRMSE"
5,60,"dopt",0.761904761904762,1,0.816496580927726,2.65776883410983,0.560226452234955
6,12,"random",1,0.25,0.438529009653515,2.88094255189792,0.380352763177216
6,12,"maximin",0.75,0.375,0.419573195839137,2.9010298172083,0.605762477505912
6,12,"dopt",0.615384615384615,0.5,0.401250282129204,2.82939299191215,1.09878034565461
6,16,"random",0.625,0.3125,0.306611181574754,4.08146604271342,1.88603593304198
6,16,"maximin",0.666666666666667,0.625,0.510061370450671,3.50688088560625,1.1108814365495
6,16,"dopt",0.888888888888889,0.5,0.58426976508496,2.9749342619361,0.579317713273968
6,20,"random",0.857142857142857,0.375,0.478091443733757,3.02180633411662,1.06389906405117
6,20,"maximin",0.777777777777778,0.875,0.749658791780345,2.51746890700402,0.690116895608618
6,20,"dopt",0.6,0.5625,0.420800630621803,2.57025707810677,0.568331520192932
6,30,"random",1,0.75,0.82572282384477,2.65067050088332,0.875523769245106
6,30,"maximin",0.875,0.875,0.825,2.62313397470649,0.693223540286764
6,30,"dopt",0.823529411764706,0.875,0.78600120126252,2.48061894200958,0.557961357498599
6,40,"random",0.928571428571429,0.8125,0.821583836257749,2.44476028690093,0.777048732865054
6,40,"maximin",0.842105263157895,1,0.882579950158088,2.58460390600638,0.57007964414844
6,40,"dopt",0.8,1,0.848528137423857,2.44016484185857,0.459322910410212
6,60,"random",0.941176470588235,1,0.957938964038696,2.52217339623511,0.611064438913752
6,60,"maximin",1,1,1,2.48094608902246,0.393644753007544
6,60,"dopt",0.888888888888889,1,0.918936583472681,2.43358324325199,0.406283503631544
7,12,"random",0.5,0.25,0.193649167310371,4.25584997841006,1.2278327025716
7,12,"maximin",0.875,0.4375,0.53253521010352,3.32343935252659,0.448992602698745
7,12,"dopt",0.714285714285714,0.625,0.547722557505166,2.62848316043011,0.559417442874006
7,16,"random",0.75,0.375,0.419573195839137,4.228467282412,1.1683935250687
7,16,"maximin",0.8,0.75,0.688582850108405,3.43910562715721,0.822837792680003
7,16,"dopt",1,0.75,0.82572282384477,2.67717748530325,0.347665093760922
7,20,"random",0.888888888888889,0.5,0.58426976508496,2.36420573469212,0.519880307993461
7,20,"maximin",0.857142857142857,0.75,0.730296743340222,2.74543322424768,0.727845163114111
7,20,"dopt",0.933333333333333,0.875,0.86710432976614,2.81703628007522,0.579226574559479
7,30,"random",0.875,0.875,0.825,2.61545992393076,0.814572611896172
7,30,"maximin",0.727272727272727,1,0.786245393106896,2.57035546615667,0.576697354427676
7,30,"dopt",0.888888888888889,1,0.918936583472681,2.50948378746781,0.480724082161167
7,40,"random",0.9375,0.9375,0.9125,2.36780997499246,0.523681342448942
7,40,"maximin",0.789473684210526,0.9375,0.799092657575566,2.43306124361205,0.448700505702502
7,40,"dopt",0.941176470588235,1,0.957938964038696,2.48785303553115,0.527842605035132
7,60,"random",0.789473684210526,0.9375,0.799092657575566,2.4435996131228,0.566775021110156
7,60,"maximin",1,1,1,2.36122114541087,0.303315505224005
7,60,"dopt",0.761904761904762,1,0.816496580927726,2.37643950080369,0.2547606901449
8,12,"random",0.75,0.1875,0.285043856274785,3.79884647257753,0.424285486236076
8,12,"maximin",0.8,0.25,0.356453115471603,4.71715454165286,1.30537145061677
8,12,"dopt",0.75,0.375,0.419573195839137,3.25807443516596,0.400250430821347
8,16,"random",1,0.125,0.304290309725092,3.19975096472822,0.386186074733691
8,16,"maximin",0.916666666666667,0.6875,0.729388494396214,3.30944961628641,0.678307311709509
8,16,"dopt",0.785714285714286,0.6875,0.639009650422694,2.89677485539618,0.766689741090914
8,20,"random",0.8,0.25,0.356453115471603,3.20590282312731,0.414492346211601
8,20,"maximin",0.785714285714286,0.6875,0.639009650422694,3.03217301843721,0.789192872486989
8,20,"dopt",0.9,0.5625,0.634000411466058,2.67710616111203,0.681330288492752
8,30,"random",0.818181818181818,0.5625,0.582748624705335,2.73098892694955,0.707718258442058
8,30,"maximin",0.916666666666667,0.6875,0.729388494396214,2.6292737740115,0.58340922306758
8,30,"dopt",0.875,0.875,0.825,2.66138827857555,0.466397637485179
8,40,"random",0.875,0.875,0.825,2.98640423815468,1.29973500769299
8,40,"maximin",0.888888888888889,1,0.918936583472681,2.74620198019912,0.582961906934144
8,40,"dopt",0.9375,0.9375,0.9125,2.61819293511802,0.610684314424347
