"seed","N","n_eff","strategy","Pr","Re","MCC","CoefL2","JacRMSE"
13,30,30,"dopt",0.888888888888889,0.5,0.58426976508496,4.3276554746126,0.223821740074338
13,40,40,"dopt",0.769230769230769,0.625,0.588500413789499,3.93845317228062,0.192893439366982
13,60,60,"dopt",0.909090909090909,0.625,0.682242292337953,3.63105952910115,0.150070162120448
14,12,12,"random",0,0,-0.0852802865422442,8.98026900657731,0.276799200936728
14,16,16,"random",0,0,-0.121716123890037,6.50595844750726,0.271953410647062
14,20,20,"random",0,0,-0.0852802865422442,4.87702939734623,0.270249628056127
14,30,30,"random",0,0,0,3.67355764561062,0.266805404233525
14,40,40,"random",0.666666666666667,0.125,0.200627945030208,4.61949668937949,0.257359018972394
14,60,60,"random",0.8,0.25,0.356453115471603,3.35594376982837,0.222169762449475
14,12,12,"maximin",1,0.125,0.304290309725092,4.80934742090871,0.370246147910932
14,16,16,"maximin",1,0.125,0.304290309725092,5.29633113484585,0.360713330824826
14,20,20,"maximin",1,0.3125,0.495073771488337,4.89973948610608,0.303281150597565
14,30,30,"maximin",0.7,0.4375,0.427581672849202,4.34145215926405,0.1871722716107
14,40,40,"maximin",0.875,0.4375,0.53253521010352,4.26348456708106,0.203004444760047
14,60,60,"maximin",1,0.5,0.645497224367903,4.03767727785734,0.151935870000331
14,12,12,"dopt",0.375,0.1875,0.0806871530459878,6.60177650612953,0.363563519388518
14,16,16,"dopt",0.75,0.1875,0.285043856274785,4.93869430993775,0.225225664219196
14,20,20,"dopt",0.857142857142857,0.375,0.478091443733757,4.53166244257842,0.175199612679009
14,30,30,"dopt",0.8,0.5,0.53079104215763,3.75075970055231,0.219180765619744
14,40,40,"dopt",0.8,0.5,0.53079104215763,3.81070896869264,0.16923177464967
14,60,60,"dopt",0.9,0.5625,0.634000411466058,3.88670754490531,0.130874871434858
15,12,12,"random",0.333333333333333,0.25,0.055048188256318,24.3214611624566,0.917060252686867
15,16,16,"random",0,0,0,6.5038544809542,0.287444781789352
15,20,20,"random",0.666666666666667,0.125,0.200627945030208,7.25646368543291,0.382467842955575
15,30,30,"random",0.6,0.1875,0.217832459454868,5.10264146235868,0.294045062310867
15,40,40,"random",0.8,0.25,0.356453115471603,3.7434915711527,0.25887647802436
15,60,60,"random",0.8,0.5,0.53079104215763,3.72832975807444,0.235272204889374
15,12,12,"maximin",0.333333333333333,0.125,0.0365148371670111,8.60174679420276,0.437993236285533
15,16,16,"maximin",0.5,0.125,0.131558702896054,5.2348843544029,0.333196261642486
15,20,20,"maximin",0.6,0.375,0.324372303540774,3.98513282412962,0.312520236410221
15,30,30,"maximin",1,0.375,0.547722557505166,4.14139525567865,0.224402975589221
15,40,40,"maximin",1,0.5,0.645497224367903,3.81398157608931,0.17389230850612
15,60,60,"maximin",0.923076923076923,0.75,0.775750545449794,3.87658801668297,0.122300857366011
15,12,12,"dopt",0.2,0.0625,-0.0594088525786005,6.27673010232108,0.490928126579194
15,16,16,"dopt",0.5,0.0625,0.0912870929175277,3.96372657647651,0.301760042748732
15,20,20,"dopt",0.75,0.1875,0.285043856274785,4.76022814481443,0.28044772062189
15,30,30,"dopt",0.625,0.3125,0.306611181574754,4.18442725410263,0.251403075188149
15,40,40,"dopt",0.727272727272727,0.5,0.483254957072717,4.04474787154154,0.251083622986225
15,60,60,"dopt",0.909090909090909,0.625,0.682242292337953,3.64975124610754,0.176734183830104
16,12,12,"random",0,0,-0.121716123890037,5.38158351403357,0.33203611042969
16,16,16,"random",0.5,0.0625,0.0912870929175277,4.19424566771982,0.284379748651834
16,20,20,"random",0.6,0.1875,0.217832459454868,4.76312579996433,0.304449132276033
16,30,30,"random",0.5,0.1875,0.16431676725155,4.06224977438768,0.258610402569222
