"seed","N","n_eff","strategy","Pr","Re","MCC","CoefL2","JacRMSE"
9,30,30,"maximin",0.75,0.375,0.419573195839137,4.99971012383129,0.197400396328793
9,40,40,"maximin",0.8,0.5,0.53079104215763,4.5014838855111,0.176935466890012
9,60,60,"maximin",0.916666666666667,0.6875,0.729388494396214,3.73213766766393,0.105695347433527
9,12,12,"dopt",1,0.0625,0.21320071635561,4.40758373559224,0.209981430047213
9,16,16,"dopt",0.666666666666667,0.125,0.200627945030208,4.6534491341126,0.22868801668009
9,20,20,"dopt",0.666666666666667,0.125,0.200627945030208,5.00403741066584,0.208109588003155
9,30,30,"dopt",0.75,0.375,0.419573195839137,4.53240127518927,0.215247368625964
9,40,40,"dopt",0.888888888888889,0.5,0.58426976508496,4.43528674081566,0.186375234278968
9,60,60,"dopt",1,0.5,0.645497224367903,3.40049310686566,0.143277165062718
10,12,12,"random",0.25,0.0625,-0.0219264504826757,3.84448620258707,0.299419669722201
10,16,16,"random",0.5,0.125,0.131558702896054,4.26031404507019,0.295338943324693
10,20,20,"random",0,0,-0.0852802865422442,3.23635425338464,0.299240314680542
10,30,30,"random",0.4,0.125,0.0792118034381339,4.79489876249619,0.267358458231912
10,40,40,"random",0.857142857142857,0.375,0.478091443733757,3.92116001198797,0.205863299561983
10,60,60,"random",0.8,0.5,0.53079104215763,4.12997344293167,0.194359732074707
10,12,12,"maximin",0.666666666666667,0.125,0.200627945030208,5.25567003457567,0.25286148910525
10,16,16,"maximin",1,0.125,0.304290309725092,5.02302619610814,0.264078145628318
10,20,20,"maximin",0.833333333333333,0.3125,0.419920627420627,4.58140895019862,0.223614038443459
10,30,30,"maximin",1,0.4375,0.597614304667197,4.32495967832656,0.170789503960807
10,40,40,"maximin",1,0.5625,0.691898406021664,4.15853468375167,0.132399577449506
10,60,60,"maximin",0.75,0.5625,0.536719835499101,3.66483924315586,0.145127662627806
10,12,12,"dopt",0,0,0,5.02064315685193,0.281577486497268
10,16,16,"dopt",0.666666666666667,0.125,0.200627945030208,5.02811434090692,0.25648744215709
10,20,20,"dopt",1,0.3125,0.495073771488337,4.57720643541434,0.229096260908025
10,30,30,"dopt",0.777777777777778,0.4375,0.476641124148257,4.17210959046452,0.223329735053553
10,40,40,"dopt",0.888888888888889,0.5,0.58426976508496,4.6006048872776,0.201811180371159
10,60,60,"dopt",0.818181818181818,0.5625,0.582748624705335,4.50281512897293,0.163182426497133
11,12,10,"random",0.1,0.0625,-0.191674543001366,17.2036925756341,0.635332106916266
11,16,14,"random",0.6,0.1875,0.217832459454868,7.19584605133688,0.331572980375445
11,20,18,"random",1,0.0625,0.21320071635561,5.61667332035456,0.320826052092286
11,30,25,"random",0.666666666666667,0.25,0.292118697336089,5.49170195090741,0.297733882796528
11,40,35,"random",0.75,0.1875,0.285043856274785,4.78242389800985,0.299350979761038
11,60,53,"random",0.8,0.25,0.356453115471603,4.52701440995227,0.27681837976446
11,12,9,"maximin",0.666666666666667,0.125,0.200627945030208,11.4358295375168,0.358277823252692
11,16,12,"maximin",1,0.0625,0.21320071635561,6.36115720453656,0.337910658770659
